Book_id,Reviewer_id,Review_text,Rating,Review_date,Review_title
3000,379023898,The author made a good effort with this book.,3,2024-02-27,Good Effort
3000,353172430,"The book was just okay. It wasn't bad, but it wasn't great either.",2,2024-02-26,Just Okay
3000,384446126,The book was tedious to read. I struggled to get through it.,1,2024-02-22,Tedious
3000,356683870,I found the book very enjoyable and well worth reading.,4,2024-03-11,Very Enjoyable
3000,239941214,Stunning book. I was captivated from the first page.,5,2024-03-06,Stunning
3000,287108500,The book was exquisite. Beautifully written.,5,2024-03-22,Exquisite
3000,322114125,The book was an incredible journey. Loved it!,5,2024-03-29,Incredible Journey
3000,346495229,I highly recommend this book to anyone.,4,2024-03-31,Highly Recommend
3000,299546291,"The pacing was too slow, and the story didn't hold my attention.",1,2024-04-03,Dull and Tedious
3000,222456519,This was an excellent read. I really liked it.,4,2024-04-11,Excellent Read
3000,234481547,The book felt uninspired and lacked creativity.,2,2024-04-05,Uninspired
3000,339775611,The storyline was mediocre and didn't hold my interest.,2,2024-04-21,Mediocre Storyline
3000,324307768,This was a really good book. I enjoyed it a lot.,4,2024-04-26,Really Good
3000,352860357,The book was a real page-turner. Very exciting.,4,2024-05-10,Page-Turner
3000,250255304,"The book was just okay. It wasn't bad, but it wasn't great either.",2,2024-05-29,Just Okay
3000,387114234,The author made a good effort with this book.,3,2024-06-02,Good Effort
3000,222367047,The book was tedious to read. I struggled to get through it.,1,2024-06-04,Tedious
3000,265241398,"I liked the book, but it didn't blow me away.",3,2024-06-11,Liked It
3000,375906872,"The pacing was too slow, and the story didn't hold my attention.",1,2024-07-06,Dull and Tedious
3000,253007660,Stunning book. I was captivated from the first page.,5,2024-07-03,Stunning
3000,211559455,I found the book very enjoyable and well worth reading.,4,2024-07-18,Very Enjoyable
3000,391698420,"The book was fairly good, but not outstanding.",3,2024-07-18,Fairly Good
3000,363197815,The book failed to engage me. I found it hard to care about the story.,1,2024-07-30,Not Engaging
3000,378991046,The story lacked excitement and intrigue.,2,2024-08-14,Lacked Excitement
3000,313193195,The book was fantastic! I highly recommend it.,4,2024-08-06,Fantastic
3000,332642172,Captivating from start to finish. A must-read!,5,2024-08-21,Captivating
3000,264002163,The book was interesting and had some good points.,3,2024-08-14,Interesting
3000,233986983,The story and characters lacked depth.,2,2024-09-15,Lacked Depth
